Application Number,Program Administrator,Program,Incentive Design,Incentive Type,Incentive Step,Incentive Amount,Total Cost,Nameplate Rating,CEC PTC Rating,Design Factor,CSI Rating,Current Incentive Application Status,Cancellation Reason,Host Customer NAICS Code,System Owner Sector,System Owner NAICS Code,Host Customer Sector,Host Customer Physical Address City,Host Customer Physical Address County,Host Customer Physical Address State,Host Customer Physical Zip Code,First New Reservation Request Date,First Online Reservation Request Submitted Date,First Reservation Request Review Date,First Pending RFP Date,First RFP Review (Gov't/Non-Profit only) Date,First Suspended - RFP Review Date,First Reservation Reserved Date,First Online Proof of Project Milestones Submitted Date,First Proof of Project Milestones Review Date,First Suspended - Milestone Review Date,First Suspended - Reservation Review Date,First Confirmed Reservation Date,First Online Incentive Claim Request Submitted Date,First Incentive Claim Request Review Date,First Suspended - Incentive Claim Request Review Date,First Pending Payment Date,First PBI - In Payment Date,First Completed Date,First Withdrawn Date,First Cancelled Date,First Site Transferred Date,First System Removed Date,Solar Contractor Company Name,Contractor License Number,Seller Company Name,3rd Party Owner,PV Module#1 Manufacturer,PV Module#2 Manufacturer,PV Module#3 Manufacturer,PV Module#4 Manufacturer,PV Module#5 Manufacturer,PV Module#6 Manufacturer,PV Module#7 Manufacturer,PV Module#8 Manufacturer,PV Module#9 Manufacturer,PV Module#1 Model,PV Module#2 Model,PV Module#3 Model,PV Module#4 Model,PV Module#5 Model,PV Module#6 Model,PV Module#7 Model,PV Module#8 Model,PV Module#9 Model,PV Module#1 Quantity,PV Module#2 Quantity,PV Module#3 Quantity,PV Module#4 Quantity,PV Module#5 Quantity,PV Module#6 Quantity,PV Module#7 Quantity,PV Module#8 Quantity,PV Module#9 Quantity,Inverter#1 Manufacturer,Inverter#2 Manufacturer,Inverter#3 Manufacturer,Inverter#4 Manufacturer,Inverter#5 Manufacturer,Inverter#6 Manufacturer,Inverter#7 Manufacturer,Inverter#8 Manufacturer,Inverter#9 Manufacturer,Inverter#10 Manufacturer,Inverter#1 Model,Inverter#2 Model,Inverter#3 Model,Inverter#4 Model,Inverter#5 Model,Inverter#6 Model,Inverter#7 Model,Inverter#8 Model,Inverter#9 Model,Inverter#10 Model,Inverter#1 Quantity,Inverter#2 Quantity,Inverter#3 Quantity,Inverter#4 Quantity,Inverter#5 Quantity,Inverter#6 Quantity,Inverter#7 Quantity,Inverter#8 Quantity,Inverter#9 Quantity,Inverter#10 Quantity,Installed Status,Completed/PBI-In Payment Status,Performance Monitoring Provider,PDP Provider,CSI Project Azimuth,CSI Project Tilt,Tracking Type,CEC PTC Rating Fixed,CEC PTC Rating Single-Axis Tracking,CEC PTC Rating Dual-Axis Tracking,CSI Rating Fixed,CSI Rating Single-Axis Tracking,CSI Rating Dual-Axis Tracking,MASH Track 1A Incentive Amount,MASH Track 1B Incentive Amount,MASH Track 2 Incentive Amount,MASH Track 1A % Capacity,MASH Track 1B % Capacity
SD-CSI-03676,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,5368,0,4,3.469,0.99829,3.463,Cancelled,,,Residential,,Residential,Culver City,Los Angeles,CA,90232,9/11/2009,9/11/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,Contact Electric,847208,Contact Electric,no,Evergreen Solar,,,,,,,,,ES-A-200-fa2,,,,,,,,,20,,,,,,,,,Solectria Renewables,,,,,,,,,,PVI 4000 (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,250,18,Fixed Array,3.469,0,0,3.464,0,0,,,,,
SD-CSI-03095,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,3446,0,2.816,2.286,0.97227,2.223,Cancelled,8/4/09 - Project is in SCE territory. Sent application packet back to Applicant.  TO,,Residential,,Residential,Downey,Los Angeles,CA,90242,6/29/2009,6/30/2009,7/9/2009,,,,,,,,7/13/2009,,,,,,,,,8/4/2009,,,,,,yes,Sharp,,,,,,,,,ND-176U1Y,,,,,,,,,16,,,,,,,,,PV Powered,,,,,,,,,,PVP2800,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,15,Fixed Array,2.286,0,0,2.223,0,0,,,,,
SD-CSI-03362,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,6767,0,5.6,4.535,0.96274,4.366,Cancelled,,,Residential,,Residential,Gardena,Los Angeles,CA,90249,8/12/2009,8/12/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,SEE Systems,422405,SEE Systems,no,Suntech Power,,,,,,,,,STP200-18/UB-1,,,,,,,,,28,,,,,,,,,SMA America,,,,,,,,,,SB6000U (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,4.535,0,0,4.366,0,0,,,,,
SD-CSI-03355,CSE,Small Commercial (< 10 kW) and All Residential,"98.184% @ $1.55, 1.816% @ $1.10 per Watt EPBB",EPBB,"98.184% @ Step 5, 1.816% @ Step 6",2424,22541.08,2,1.585,0.99176,1.572,Cancelled,Project expired. DA,,Residential,,Residential,Rancho Palos Verdes,Los Angeles,CA,90275,8/12/2009,8/12/2009,8/19/2009,,,,,,,,8/21/2009,9/10/2009,10/22/2009,,,,,,,1/26/2011,,,SEE Systems,422405,SEE Systems,no,Suntech Power,,,,,,,,,STP200-18/UB-1,,,,,,,,,10,,,,,,,,,PV Powered,,,,,,,,,,PVP2000,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,236,17,Fixed Array,1.585,0,0,1.572,0,0,,,,,
SD-CSI-01400,CSE,Small Commercial (< 10 kW) and All Residential,$2.20 per Watt EPBB,EPBB,Step 3,7946,35180.5,4.368,3.695,0.97758,3.612,Cancelled,,,Residential,,Residential,La Mirada,Los Angeles,CA,90638,6/17/2008,8/13/2008,,,,,,,,,,,,,,,,,,2/25/2010,,,,,,no,Sharp,,,,,,,,,ND-208U1F,,,,,,,,,21,,,,,,,,,PV Powered,,,,,,,,,,PVP4800,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,3.695,0,0,3.612,0,0,,,,,
SD-CSI-03673,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,2488,0,2,1.69,0.94962,1.605,Cancelled,,,Residential,,Residential,Seal Beach,Orange,CA,90740,9/11/2009,9/11/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,Contact Electric,847208,Contact Electric,no,Evergreen Solar,,,,,,,,,ES-A-200-fa2,,,,,,,,,10,,,,,,,,,Fronius USA,,,,,,,,,,IG 2000 NEG,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,1.69,0,0,1.604,0,0,,,,,
SD-CSI-03124,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,0,0,,,0.94114,,Cancelled,,,Residential,,Residential,Long Beach,Los Angeles,CA,90808,6/30/2009,6/30/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,"Akeena Solar, Inc.",805773,"Akeena Solar, Inc.",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enphase Energy,,,,,,,,,,M190-72-240-S12,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,,,,0,0,0,0,0,0,,,,,
SD-CSI-03358,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,2429,7200,1.98,1.599,0.98,1.567,Cancelled,,,Residential,,Residential,Arcadia,Los Angeles,CA,91006,8/10/2009,8/12/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,SunGreen Systems,935910,SunGreen Systems,no,Ligitek Photovoltaic,,,,,,,,,LM220BB00,,,,,,,,,9,,,,,,,,,Powercom,,,,,,,,,,SLK-4000 (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,0,Fixed Array,1.599,0,0,1.567,0,0,,,,,
SD-CSI-02508,CSE,Small Commercial (< 10 kW) and All Residential,$1.90 per Watt EPBB,EPBB,Step 4,8962,25000,6.3,4.863,0.97,4.717,Cancelled,,,Residential,,Residential,La Canada,Los Angeles,CA,91011,5/1/2009,5/1/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,,,,no,Solartech Power,,,,,,,,,SPM210P,,,,,,,,,30,,,,,,,,,Beacon Power,,,,,,,,,,M5 Plus,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,4.863,0,0,4.717,0,0,,,,,
SD-CSI-03679,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,2895,0,2.2,1.868,1,1.868,Cancelled,,,Residential,,Residential,Sunland,Los Angeles,CA,91040,9/11/2009,9/11/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,Contact Electric,847208,Contact Electric,no,Evergreen Solar,,,,,,,,,ES-A-200-fa2,,,,,,,,,11,,,,,,,,,Fronius USA,,,,,,,,,,IG 3000 NEG,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,1.868,0,0,1.868,0,0,,,,,
